127.0.0.1 - - [27/Nov/2020:11:33:18 -0500] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:33:22 -0500] "GET /trainstation/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:33:22 -0500] "GET /trainstation/login HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:33:22 -0500] "GET /trainstation/assets/css/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:33:34 -0500] "GET /trainstation/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:33:35 -0500] "GET /trainstation/login HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:33:35 -0500] "GET /trainstation/assets/css/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:33:35 -0500] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:33:44 -0500] "POST /trainstation/login HTTP/1.1" 200 2875
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:33:53 -0500] "POST /trainstation/schedule HTTP/1.1" 200 2892
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:34:01 -0500] "POST /trainstation/schedule HTTP/1.1" 200 3452
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:34:19 -0500] "GET /trainstation/logout? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:34:19 -0500] "GET /trainstation/login HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:34:19 -0500] "GET /trainstation/assets/css/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:34:24 -0500] "GET /trainstation/admin HTTP/1.1" 200 4184
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:34:24 -0500] "GET /trainstation/assets/css/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:34:51 -0500] "POST /trainstation/admin HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:34:51 -0500] "GET /trainstation/assets/css/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:34:57 -0500] "GET /trainstation/admin HTTP/1.1" 200 4184
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:39:02 -0500] "POST /trainstation/admin HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:39:02 -0500] "GET /trainstation/assets/css/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:39:16 -0500] "GET /trainstation/admin HTTP/1.1" 200 4184
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:40:03 -0500] "POST /trainstation/admin HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:40:03 -0500] "GET /trainstation/assets/css/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:40:05 -0500] "GET /trainstation/admin HTTP/1.1" 200 4184
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:50:08 -0500] "GET /trainstation/assets/css/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:54:34 -0500] "GET /trainstation/admin HTTP/1.1" 200 4184
0:0:0:0:0:0:0:1 - - [27/Nov/2020:11:54:34 -0500] "GET /trainstation/assets/css/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [27/Nov/2020:12:13:52 -0500] "GET /trainstation/assets/css/styles.css HTTP/1.1" 404 782
